Price,Close,High,Low,Open,Volume
Ticker,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS
Date,,,,,
2015-08-25,8.680122375488281,8.680122375488281,8.564899074501378,8.680122375488281,2644667
2015-08-26,8.603306770324707,8.641714537002606,8.564899003646808,8.564899003646808,1761132
2015-08-27,8.64171314239502,8.68012090287464,8.56489762143578,8.68012090287464,2155379
2015-08-28,8.526491165161133,8.603305958703134,8.449675639051982,8.564898195648558,1876748
2015-08-31,8.71852970123291,8.756936733717513,8.60330640607754,8.60330640607754,2613395
2015-09-01,8.488083839416504,8.603306401949398,8.449676074383143,8.526491604449864,2595679
2015-09-02,8.603306770324707,8.680122303680506,8.564899003646808,8.564899003646808,1522263
2015-09-03,8.795344352722168,8.795344352722168,8.603306263219206,8.718529556461288,2691700
2015-09-04,8.526491165161133,8.79534404140886,8.526491165161133,8.756936278354285,2812995
2015-09-07,8.449675559997559,8.449675559997559,8.372860034607088,8.372860034607088,901963
2015-09-08,8.449675559997559,8.52649108538803,8.411267797302324,8.449675559997559,2512136
2015-09-09,8.488083839416504,8.603306401949398,8.488083839416504,8.564898636916038,1348013
2015-09-10,8.488083839416504,8.564898636916038,8.411268309349781,8.411268309349781,2009820
2015-09-11,8.449675559997559,8.449675559997559,8.372860034607088,8.411267797302324,1415995
2015-09-14,8.526491165161133,8.526491165161133,8.411267875997407,8.488083402106557,1569460
2015-09-15,8.795344352722168,8.795344352722168,8.603306263219206,8.603306263219206,2085079
2015-09-16,8.910567283630371,8.987382076767702,8.833751757925898,8.833751757925898,1573833
2015-09-17,9.17941951751709,9.17941951751709,8.910566661458125,8.910566661458125,2221577
2015-09-18,9.141011238098145,9.141011238098145,8.94897318072157,9.02578869669902,2778128
2015-09-21,9.217827796936035,9.333050351370883,9.179420034602042,9.179420034602042,2207538
2015-09-22,8.910567283630371,8.987382076767702,8.833751757925898,8.987382076767702,2299771
2015-09-23,8.910567283630371,8.948974313915464,8.872159520778135,8.910567283630371,1391792
2015-09-24,8.910567283630371,8.910567283630371,8.910567283630371,8.910567283630371,0
2015-09-25,8.910567283630371,8.910567283630371,8.910567283630371,8.910567283630371,0
2015-09-28,8.795344352722168,8.948974677811101,8.75693658830814,8.872159881550221,2725807
2015-09-29,8.987381935119629,8.987381935119629,8.833751618699157,8.872159380946059,2820008
2015-09-30,9.06419849395752,9.06419849395752,8.910568160005809,8.948975194068325,2745940
2015-10-01,9.02579116821289,9.102606705224582,8.987383399707046,9.064198936718737,1565374
2015-10-02,9.02579116821289,9.064198936718737,8.87216082675676,8.987383399707046,2600457
2015-10-05,9.409865379333496,9.409865379333496,9.256235070674123,9.256235070674123,1789200
2015-10-06,9.409865379333496,9.48668089994673,9.333049858720262,9.448273139640113,1694621
2015-10-07,9.563496589660645,9.563496589660645,9.448274030444448,9.525088825732857,3318481
2015-10-08,9.755535125732422,9.909165455947264,9.640312561213092,9.678720326908602,3628635
2015-10-09,9.601903915405273,9.75553423153833,9.563496153230226,9.563496153230226,3310333
2015-10-12,9.755535125732422,9.755535125732422,9.640312561213092,9.678720326908602,1981416
2015-10-13,9.83234977722168,9.83234977722168,9.64031169849691,9.717126490446537,3672713
2015-10-14,9.755535125732422,9.832350657123444,9.717127360036912,9.755535125732422,3279185
2015-10-15,9.717126846313477,9.870757900973377,9.717126846313477,9.832350137308401,1974887
2015-10-16,9.717126846313477,9.717126846313477,9.563496524220737,9.678719815215663,1895970
2015-10-19,9.947572708129883,9.98598047184271,9.87075791327139,9.947572708129883,2061375
2015-10-20,10.101203918457031,10.13961168554646,10.024389116845397,10.101203918457031,1991644
2015-10-21,10.062796592712402,10.139611392100976,9.947573294778733,10.062796592712402,4004250
2015-10-22,10.139610290527344,10.254833575943083,10.101202528722098,10.139610290527344,4530473
2015-10-23,10.101203918457031,10.21642721972532,10.101203918457031,10.13961168554646,1741146
2015-10-26,10.024389266967773,10.139611837394376,9.98598149930316,9.98598149930316,2474648
2015-10-27,9.985980033874512,10.062795557931167,9.870757480356657,10.062795557931167,3395363
2015-10-28,9.870758056640625,9.985980616885513,9.83235029236994,9.947572852614826,2754550
2015-10-29,9.870758056640625,9.870758056640625,9.870758056640625,9.870758056640625,0
2015-10-30,10.139610290527344,10.139610290527344,9.832349661219626,9.870757423024871,4286879
2015-11-02,10.523686408996582,10.600501932355622,10.446871618204666,10.523686408996582,4385224
